IDX,KOR,ENG
1,어서오세요. 슬슬 차 우릴 준비가 다 되어가던 참이랍니다.,N
2,"여기 어울리는 다과도 조금 준비해두었으니, 마음껏 드세요.",N
3,그럼… 사양하지 않고…,N
4,"앗, 이건?",N
5,그건 코코아 파우더를 듬뿍 얹은 티라미수 케이크랍니다. 어찌 입에 맞으신가요?,N
6,네! 정말 맛있어요!,N
7,"숲에서는 초코를 구하기가 어려우니까, 티라미수 같은 건 자주 먹기 힘들거든요.",N
8,"생두만 있으면 한 번 길러볼만도 한데, 가공된 초코는 종종 있어도 생두는 정말 구하기가 힘들단 말이야.",N
9,"후훗, 조금 더 있으니 마음껏 드세요",N
10,네!,N
11,(냠냠),N
12,근데 그 구슬은 뭐길래 그렇게 중요한 거에요?,N
13,겉으로 보기에는 그냥 평범한 구슬이던데…,N
14,아 이거 말이죠?,N
15,겉으로 보기에는 평범한 구슬같지만 사실 이건 방대한 마력이 담긴 구슬이랍니다.,N
16,그 곰은 이 근처에서 살던 평범한 곰이었지만 이 구슬을 삼키고 저렇게 흉포해졌어요.,N
17,마력을 제대로 다루지 못하는 존재가 방대한 마력을 가지게 되면 폭주해버리기 마련인 것이죠.,N
18,"그래서 말인데, 에피 양에게 한가지 더 부탁이 있습니다만.",N
19,(으왓 이것은 또 귀찮아지는 전개),N
20,사실 제가 잃어버린 구슬이 이것 말고도 두 개 더 있거든요. 그 구슬들의 회수를 도와주실 수 있으실까요?,N
21,(빤히),N
22,(또 나왔다 부담스러운 눈빛),N
23,(안돼 그래도 거절할 땐 확실히 거절할 줄 알아야지!),N
24,"죄송하지만, 그건 좀 힘들 것 같아요.",N
25,이런 위험한 일 한 번 도와드린 것으로 충분하다구요.,N
26,하지만…! 마력으로 인해 폭주한 동물들이 난동을 부리기라도 한다면 숲에 큰일이 날 텐데,N
27,에피 양도 그런 것은 원하지 않잖아요? 그러니까 제발 도와주시면 안될까요?,N
28,이렇게 부탁드립니다.,N
29,……,N
30,하아~ 어쩔 수 없죠. 제가 도와드릴게요.,N
31,"대신, 이번이 정말 마지막이에요?",N
32,정말 감사합니다!,N
